"tienda","empresa","datef","Entry","Exit","ciudad","precip"
"1","Ficcus",2016-01-08,167,0,"santiago",0
"1","Ficcus",2016-01-09,382,0,"santiago",0
"1","Ficcus",2016-01-10,298,0,"santiago",0
"1","Ficcus",2016-01-11,133,0,"santiago",0
"1","Ficcus",2016-01-12,195,0,"santiago",0
"1","Ficcus",2016-01-13,164,0,"santiago",0
"1","Ficcus",2016-01-14,150,0,"santiago",0
"1","Ficcus",2016-01-15,174,0,"santiago",0
"1","Ficcus",2016-01-16,374,0,"santiago",0
"1","Ficcus",2016-01-17,244,0,"santiago",0
"1","Ficcus",2016-01-18,134,0,"santiago",0
"1","Ficcus",2016-01-19,139,0,"santiago",0
"1","Ficcus",2016-01-20,190,0,"santiago",0
"1","Ficcus",2016-01-21,142,0,"santiago",0
"1","Ficcus",2016-01-22,276,0,"santiago",0
"1","Ficcus",2016-01-23,527,0,"santiago",1
"1","Ficcus",2016-01-24,410,0,"santiago",0
"1","Ficcus",2016-01-25,247,0,"santiago",0
"1","Ficcus",2016-01-26,228,0,"santiago",0
"1","Ficcus",2016-01-27,241,0,"santiago",0
"1","Ficcus",2016-01-28,231,0,"santiago",0
"1","Ficcus",2016-01-29,286,0,"santiago",0
"1","Ficcus",2016-01-30,517,0,"santiago",0
"1","Ficcus",2016-01-31,354,0,"santiago",0
"1","Ficcus",2016-02-01,162,0,"santiago",0
"1","Ficcus",2016-02-02,188,0,"santiago",0
"1","Ficcus",2016-02-03,211,0,"santiago",0
"1","Ficcus",2016-02-04,240,0,"santiago",0
"1","Ficcus",2016-02-05,257,0,"santiago",0
"1","Ficcus",2016-02-06,414,0,"santiago",0
"1","Ficcus",2016-02-07,356,0,"santiago",0
"1","Ficcus",2016-02-08,214,0,"santiago",0
"1","Ficcus",2016-02-09,214,0,"santiago",0
"1","Ficcus",2016-02-10,184,0,"santiago",0
"1","Ficcus",2016-02-11,168,0,"santiago",0
"1","Ficcus",2016-02-12,194,0,"santiago",0
"1","Ficcus",2016-02-13,365,0,"santiago",0
"1","Ficcus",2016-02-14,270,0,"santiago",0
"1","Ficcus",2016-02-15,198,0,"santiago",0
"1","Ficcus",2016-02-16,194,0,"santiago",0
"1","Ficcus",2016-02-17,203,0,"santiago",0
"1","Ficcus",2016-02-18,213,0,"santiago",0
"1","Ficcus",2016-02-19,207,0,"santiago",0
"1","Ficcus",2016-02-20,344,0,"santiago",0
"1","Ficcus",2016-02-21,309,0,"santiago",0
"1","Ficcus",2016-02-22,175,0,"santiago",0
"1","Ficcus",2016-02-23,188,0,"santiago",0
"1","Ficcus",2016-02-24,180,0,"santiago",0
"1","Ficcus",2016-02-25,173,0,"santiago",0
"1","Ficcus",2016-02-26,196,0,"santiago",0
"1","Ficcus",2016-02-27,444,0,"santiago",0
"1","Ficcus",2016-02-28,314,0,"santiago",0
"1","Ficcus",2016-02-29,193,0,"santiago",0
"1","Ficcus",2016-03-01,148,0,"santiago",0
"1","Ficcus",2016-03-02,173,0,"santiago",0
"1","Ficcus",2016-03-03,200,0,"santiago",0
"1","Ficcus",2016-03-04,183,0,"santiago",0
"1","Ficcus",2016-03-05,515,0,"santiago",0
"1","Ficcus",2016-03-06,287,0,"santiago",0
"1","Ficcus",2016-03-07,140,0,"santiago",0
"1","Ficcus",2016-03-08,136,0,"santiago",0
"1","Ficcus",2016-03-09,178,0,"santiago",0
"1","Ficcus",2016-03-10,138,0,"santiago",0
"1","Ficcus",2016-03-11,221,0,"santiago",0
"1","Ficcus",2016-03-12,670,0,"santiago",0
"1","Ficcus",2016-03-13,419,0,"santiago",0
"1","Ficcus",2016-03-14,118,0,"santiago",0
"1","Ficcus",2016-03-15,155,0,"santiago",0
"1","Ficcus",2016-03-16,164,0,"santiago",0
"1","Ficcus",2016-03-17,151,0,"santiago",0
"1","Ficcus",2016-03-18,240,0,"santiago",0
"1","Ficcus",2016-03-19,699,0,"santiago",0
"1","Ficcus",2016-03-20,495,0,"santiago",0
"1","Ficcus",2016-03-21,164,0,"santiago",0
"1","Ficcus",2016-03-22,163,0,"santiago",0
"1","Ficcus",2016-03-23,202,0,"santiago",0
"1","Ficcus",2016-03-24,224,0,"santiago",0
"1","Ficcus",2016-03-25,440,0,"santiago",0
"1","Ficcus",2016-03-26,768,0,"santiago",0
"1","Ficcus",2016-03-27,527,0,"santiago",0
"1","Ficcus",2016-03-28,263,0,"santiago",0
"1","Ficcus",2016-03-29,138,0,"santiago",0
"1","Ficcus",2016-03-30,263,0,"santiago",0
"1","Ficcus",2016-03-31,296,0,"santiago",0
"1","Ficcus",2016-04-01,419,0,"santiago",0
"1","Ficcus",2016-04-02,1258,0,"santiago",0
"1","Ficcus",2016-04-03,1065,0,"santiago",0
"1","Ficcus",2016-04-04,227,0,"santiago",0
"1","Ficcus",2016-04-05,229,0,"santiago",1
"1","Ficcus",2016-04-06,251,0,"santiago",0
"1","Ficcus",2016-04-07,320,0,"santiago",0
"1","Ficcus",2016-04-08,360,0,"santiago",0
"1","Ficcus",2016-04-09,1089,0,"santiago",0
"1","Ficcus",2016-04-10,962,0,"santiago",0
"1","Ficcus",2016-04-11,222,0,"santiago",0
"1","Ficcus",2016-04-12,250,0,"santiago",0
"1","Ficcus",2016-04-13,313,0,"santiago",1
"1","Ficcus",2016-04-14,191,0,"santiago",1
"1","Ficcus",2016-04-15,299,0,"santiago",1
"1","Ficcus",2016-04-16,1032,0,"santiago",1
"1","Ficcus",2016-04-17,180,0,"santiago",1
"1","Ficcus",2016-04-18,264,0,"santiago",1
"1","Ficcus",2016-04-19,213,0,"santiago",1
"1","Ficcus",2016-04-20,261,0,"santiago",0
"1","Ficcus",2016-04-21,236,0,"santiago",0
"1","Ficcus",2016-04-22,310,0,"santiago",0
"1","Ficcus",2016-04-23,948,0,"santiago",1
"1","Ficcus",2016-04-24,710,0,"santiago",1
"1","Ficcus",2016-04-25,197,0,"santiago",0
"1","Ficcus",2016-04-26,229,0,"santiago",0
"1","Ficcus",2016-04-27,213,0,"santiago",0
"1","Ficcus",2016-04-28,274,0,"santiago",0
"1","Ficcus",2016-04-29,376,0,"santiago",0
"1","Ficcus",2016-04-30,1009,0,"santiago",1
"1","Ficcus",2016-05-02,217,0,"santiago",0
"1","Ficcus",2016-05-03,233,0,"santiago",0
"1","Ficcus",2016-05-04,249,0,"santiago",0
"1","Ficcus",2016-05-05,256,0,"santiago",0
"1","Ficcus",2016-05-06,302,0,"santiago",0
"1","Ficcus",2016-05-07,753,0,"santiago",0
"1","Ficcus",2016-05-08,351,0,"santiago",0
"1","Ficcus",2016-05-09,155,0,"santiago",0
"1","Ficcus",2016-05-10,188,0,"santiago",1
"1","Ficcus",2016-05-11,154,0,"santiago",1
"1","Ficcus",2016-05-12,140,0,"santiago",0
"1","Ficcus",2016-05-13,324,0,"santiago",0
"1","Ficcus",2016-05-14,887,0,"santiago",1
"1","Ficcus",2016-05-15,749,0,"santiago",0
"1","Ficcus",2016-05-16,190,0,"santiago",0
"1","Ficcus",2016-05-17,177,0,"santiago",0
"1","Ficcus",2016-05-18,151,0,"santiago",1
"1","Ficcus",2016-05-19,183,0,"santiago",0
"1","Ficcus",2016-05-20,231,0,"santiago",1
"1","Ficcus",2016-05-21,757,0,"santiago",1
"1","Ficcus",2016-05-22,619,0,"santiago",0
"1","Ficcus",2016-05-23,132,0,"santiago",0
"1","Ficcus",2016-05-24,140,0,"santiago",0
"1","Ficcus",2016-05-25,182,0,"santiago",0
"1","Ficcus",2016-05-26,209,0,"santiago",0
"1","Ficcus",2016-05-27,301,0,"santiago",0
"1","Ficcus",2016-05-28,855,0,"santiago",1
"1","Ficcus",2016-05-29,421,0,"santiago",1
"1","Ficcus",2016-05-30,121,0,"santiago",0
"1","Ficcus",2016-05-31,171,0,"santiago",0
"1","Ficcus",2016-06-01,180,0,"santiago",0
"1","Ficcus",2016-06-02,127,0,"santiago",1
"1","Ficcus",2016-06-03,172,0,"santiago",1
"1","Ficcus",2016-06-04,763,0,"santiago",0
"1","Ficcus",2016-06-05,571,0,"santiago",0
"1","Ficcus",2016-06-06,140,0,"santiago",0
"1","Ficcus",2016-06-07,148,0,"santiago",0
"1","Ficcus",2016-06-08,140,0,"santiago",0
"1","Ficcus",2016-06-09,118,0,"santiago",0
"1","Ficcus",2016-06-10,125,0,"santiago",0
"1","Ficcus",2016-06-11,543,0,"santiago",0
"1","Ficcus",2016-06-12,433,0,"santiago",1
"1","Ficcus",2016-06-13,105,0,"santiago",0
"1","Ficcus",2016-06-14,103,0,"santiago",0
"1","Ficcus",2016-06-15,155,0,"santiago",0
"1","Ficcus",2016-06-16,169,0,"santiago",0
"1","Ficcus",2016-06-17,188,0,"santiago",0
"1","Ficcus",2016-06-18,526,0,"santiago",0
"1","Ficcus",2016-06-19,201,0,"santiago",0
"1","Ficcus",2016-06-20,124,0,"santiago",0
"1","Ficcus",2016-06-21,108,0,"santiago",0
"1","Ficcus",2016-06-22,128,0,"santiago",0
"1","Ficcus",2016-06-23,113,0,"santiago",0
"1","Ficcus",2016-06-24,169,0,"santiago",0
"1","Ficcus",2016-06-25,531,0,"santiago",0
"1","Ficcus",2016-06-26,284,0,"santiago",0
"1","Ficcus",2016-06-27,190,0,"santiago",0
"1","Ficcus",2016-06-28,106,0,"santiago",0
"1","Ficcus",2016-06-29,135,0,"santiago",0
"1","Ficcus",2016-06-30,121,0,"santiago",0
"1","Ficcus",2016-07-01,210,0,"santiago",0
"1","Ficcus",2016-07-02,491,0,"santiago",0
"1","Ficcus",2016-07-03,344,0,"santiago",1
"1","Ficcus",2016-07-04,129,0,"santiago",0
"1","Ficcus",2016-07-05,110,0,"santiago",0
"1","Ficcus",2016-07-06,144,0,"santiago",0
"1","Ficcus",2016-07-07,145,0,"santiago",0
"1","Ficcus",2016-07-08,163,0,"santiago",0
"1","Ficcus",2016-07-09,583,0,"santiago",0
"1","Ficcus",2016-07-10,355,0,"santiago",1
"1","Ficcus",2016-07-11,195,0,"santiago",1
"1","Ficcus",2016-07-12,184,0,"santiago",0
"1","Ficcus",2016-07-13,196,0,"santiago",1
"1","Ficcus",2016-07-14,190,0,"santiago",0
"1","Ficcus",2016-07-15,291,0,"santiago",0
"1","Ficcus",2016-07-16,577,0,"santiago",0
"1","Ficcus",2016-07-17,393,0,"santiago",0
"1","Ficcus",2016-07-18,224,0,"santiago",0
"1","Ficcus",2016-07-19,301,0,"santiago",0
"1","Ficcus",2016-07-20,275,0,"santiago",0
"1","Ficcus",2016-07-21,268,0,"santiago",0
"1","Ficcus",2016-07-22,314,0,"santiago",0
"1","Ficcus",2016-07-23,534,0,"santiago",0
"1","Ficcus",2016-07-24,430,0,"santiago",1
"1","Ficcus",2016-07-25,93,0,"santiago",1
"1","Ficcus",2016-07-26,111,0,"santiago",0
"1","Ficcus",2016-07-27,117,0,"santiago",0
"1","Ficcus",2016-07-28,78,0,"santiago",0
"1","Ficcus",2016-07-29,179,0,"santiago",0
"1","Ficcus",2016-07-30,534,0,"santiago",0
"1","Ficcus",2016-07-31,372,0,"santiago",0
"1","Ficcus",2016-08-01,149,0,"santiago",0
"1","Ficcus",2016-08-02,94,0,"santiago",0
"1","Ficcus",2016-08-03,211,0,"santiago",0
"1","Ficcus",2016-08-04,168,0,"santiago",0
"1","Ficcus",2016-08-05,200,0,"santiago",0
"1","Ficcus",2016-08-06,589,0,"santiago",0
"1","Ficcus",2016-08-07,323,0,"santiago",0
"1","Ficcus",2016-08-08,108,0,"santiago",0
"1","Ficcus",2016-08-09,118,0,"santiago",0
"1","Ficcus",2016-08-10,109,0,"santiago",0
"1","Ficcus",2016-08-11,120,0,"santiago",0
"1","Ficcus",2016-08-12,142,0,"santiago",0
"1","Ficcus",2016-08-13,438,0,"santiago",0
"1","Ficcus",2016-08-14,426,0,"santiago",0
"1","Ficcus",2016-08-15,267,0,"santiago",0
"1","Ficcus",2016-08-16,104,0,"santiago",0
"1","Ficcus",2016-08-17,93,0,"santiago",0
"1","Ficcus",2016-08-18,71,0,"santiago",0
"1","Ficcus",2016-08-19,137,0,"santiago",0
"1","Ficcus",2016-08-20,358,0,"santiago",0
"1","Ficcus",2016-08-21,304,0,"santiago",0
"1","Ficcus",2016-08-22,84,0,"santiago",0
"1","Ficcus",2016-08-23,75,0,"santiago",0
"1","Ficcus",2016-08-24,72,0,"santiago",0
"1","Ficcus",2016-08-25,131,0,"santiago",0
"1","Ficcus",2016-08-26,168,0,"santiago",0
"1","Ficcus",2016-08-27,478,0,"santiago",0
"1","Ficcus",2016-08-28,343,0,"santiago",0
"1","Ficcus",2016-08-29,99,0,"santiago",0
"1","Ficcus",2016-08-30,114,0,"santiago",0
"1","Ficcus",2016-08-31,161,0,"santiago",0
"1","Ficcus",2016-09-01,123,0,"santiago",0
"1","Ficcus",2016-09-02,187,0,"santiago",0
"1","Ficcus",2016-09-03,610,0,"santiago",0
"1","Ficcus",2016-09-04,468,0,"santiago",0
"1","Ficcus",2016-09-05,121,0,"santiago",0
"1","Ficcus",2016-09-06,98,0,"santiago",0
"1","Ficcus",2016-09-07,142,0,"santiago",0
"1","Ficcus",2016-09-08,176,0,"santiago",0
"1","Ficcus",2016-09-09,148,0,"santiago",0
"1","Ficcus",2016-09-10,457,0,"santiago",0
"1","Ficcus",2016-09-11,389,0,"santiago",0
"1","Ficcus",2016-09-12,172,0,"santiago",0
"1","Ficcus",2016-09-13,160,0,"santiago",0
"1","Ficcus",2016-09-14,151,0,"santiago",0
"1","Ficcus",2016-09-15,196,0,"santiago",0
"1","Ficcus",2016-09-16,314,0,"santiago",0
"1","Ficcus",2016-09-17,357,0,"santiago",0
"1","Ficcus",2016-09-20,287,0,"santiago",0
"1","Ficcus",2016-09-21,201,0,"santiago",0
"1","Ficcus",2016-09-22,223,0,"santiago",0
"1","Ficcus",2016-09-23,308,0,"santiago",0
"1","Ficcus",2016-09-24,758,0,"santiago",0
"1","Ficcus",2016-09-25,587,0,"santiago",0
"1","Ficcus",2016-09-26,148,0,"santiago",0
"1","Ficcus",2016-09-27,145,0,"santiago",0
"1","Ficcus",2016-09-28,203,0,"santiago",1
"1","Ficcus",2016-09-29,157,0,"santiago",0
"1","Ficcus",2016-09-30,211,0,"santiago",0
"1","Ficcus",2016-10-01,664,0,"santiago",0
"1","Ficcus",2016-10-02,553,0,"santiago",0
"1","Ficcus",2016-10-03,153,0,"santiago",1
"1","Ficcus",2016-10-04,145,0,"santiago",0
"1","Ficcus",2016-10-05,182,0,"santiago",0
"1","Ficcus",2016-10-06,145,0,"santiago",0
"1","Ficcus",2016-10-07,200,0,"santiago",0
"1","Ficcus",2016-10-08,784,0,"santiago",0
"1","Ficcus",2016-10-09,748,0,"santiago",0
"1","Ficcus",2016-10-10,501,0,"santiago",0
"1","Ficcus",2016-10-11,140,0,"santiago",0
"1","Ficcus",2016-10-12,188,0,"santiago",0
"1","Ficcus",2016-10-13,133,0,"santiago",0
"1","Ficcus",2016-10-14,198,0,"santiago",0
"1","Ficcus",2016-10-15,517,0,"santiago",1
"1","Ficcus",2016-10-16,458,0,"santiago",1
"1","Ficcus",2016-10-17,141,0,"santiago",1
"1","Ficcus",2016-10-18,144,0,"santiago",0
"1","Ficcus",2016-10-19,183,0,"santiago",0
"1","Ficcus",2016-10-20,186,0,"santiago",0
"1","Ficcus",2016-10-21,211,0,"santiago",0
"1","Ficcus",2016-10-22,518,0,"santiago",0
"1","Ficcus",2016-10-24,173,0,"santiago",0
"1","Ficcus",2016-10-25,173,0,"santiago",0
"1","Ficcus",2016-10-26,192,0,"santiago",0
"1","Ficcus",2016-10-27,173,0,"santiago",0
"1","Ficcus",2016-10-28,275,0,"santiago",0
"1","Ficcus",2016-10-29,705,0,"santiago",0
"1","Ficcus",2016-10-30,680,0,"santiago",0
"1","Ficcus",2016-10-31,405,0,"santiago",0
"1","Ficcus",2016-11-01,363,0,"santiago",0
"1","Ficcus",2016-11-02,128,0,"santiago",0
"1","Ficcus",2016-11-03,183,0,"santiago",0
"1","Ficcus",2016-11-04,229,0,"santiago",0
"1","Ficcus",2016-11-05,714,0,"santiago",0
"1","Ficcus",2016-11-06,649,0,"santiago",0
"1","Ficcus",2016-11-07,164,0,"santiago",0
"1","Ficcus",2016-11-08,179,0,"santiago",0
"1","Ficcus",2016-11-09,201,0,"santiago",0
"1","Ficcus",2016-11-10,188,0,"santiago",0
"1","Ficcus",2016-11-11,233,0,"santiago",0
"1","Ficcus",2016-11-12,775,0,"santiago",0
"1","Ficcus",2016-11-13,552,0,"santiago",0
"1","Ficcus",2016-11-14,181,0,"santiago",0
"1","Ficcus",2016-11-15,160,0,"santiago",0
"1","Ficcus",2016-11-16,271,0,"santiago",0
"1","Ficcus",2016-11-17,185,0,"santiago",0
"1","Ficcus",2016-11-18,224,0,"santiago",0
"1","Ficcus",2016-11-19,807,0,"santiago",0
"1","Ficcus",2016-11-20,635,0,"santiago",0
"1","Ficcus",2016-11-21,12,0,"santiago",0
"1","Ficcus",2016-11-23,161,0,"santiago",0
"1","Ficcus",2016-11-24,223,0,"santiago",0
"1","Ficcus",2016-11-25,256,0,"santiago",0
"1","Ficcus",2016-11-26,824,0,"santiago",0
"1","Ficcus",2016-11-27,613,0,"santiago",0
"1","Ficcus",2016-11-28,263,0,"santiago",0
"1","Ficcus",2016-11-29,202,0,"santiago",0
"1","Ficcus",2016-11-30,241,0,"santiago",0
"1","Ficcus",2016-12-01,261,0,"santiago",0
"1","Ficcus",2016-12-02,338,0,"santiago",0
"1","Ficcus",2016-12-03,892,0,"santiago",1
"1","Ficcus",2016-12-04,908,0,"santiago",0
"1","Ficcus",2016-12-05,255,0,"santiago",0
"1","Ficcus",2016-12-06,304,0,"santiago",0
"1","Ficcus",2016-12-07,273,0,"santiago",0
"1","Ficcus",2016-12-08,1025,0,"santiago",1
"1","Ficcus",2016-12-09,522,0,"santiago",1
"1","Ficcus",2016-12-10,1054,0,"santiago",0
"1","Ficcus",2016-12-11,897,0,"santiago",0
"1","Ficcus",2016-12-12,351,0,"santiago",0
"1","Ficcus",2016-12-13,303,0,"santiago",0
"1","Ficcus",2016-12-14,341,0,"santiago",0
"1","Ficcus",2016-12-15,474,0,"santiago",0
